id, firstname, lastname, phoneNumber, email, stage, sourceId, managerId, createdAt, enteredAt
0000000000000062,Хан,Новиков,+79990000062,han.novikov@nomail.test,qualified,00000002,00000003,2026-02-10T02:45:44Z,2026-02-10T06:30:00Z
0000000000000063,Саида,Фёдоров,+79990000063,saida.fedorov@nomail.test,proposal,00000003,00000004,2026-02-15T01:44:43Z,2026-02-18T10:00:00Z
0000000000000064,Иннокентий,Морозов,+79990000064,innokentiy.morozov@nomail.test,won,00000004,00000005,2026-02-20T00:43:42Z,2026-02-25T09:09:09Z
0000000000000065,Захар,Волков,+79990000065,zahar.volkov@nomail.test,lost,00000005,00000006,2026-02-25T23:42:41Z,2026-02-27T12:12:12Z
0000000000000066,Матвей,Алексеев,+79990000066,matvey.alekseev@nomail.test,new,00000006,00000007,2026-03-01T22:41:40Z,2026-03-01T22:41:44Z
0000000000000067,Савелий,Лебедев,+79990000067,saveliy.lebedev@nomail.test,qualified,00000007,00000008,2026-03-03T21:40:39Z,2026-03-03T23:59:59Z
0000000000000068,Прохор,Семёнов,+79990000068,prokhor.semyonov@nomail.test,proposal,00000008,00000009,2026-03-05T20:39:38Z,2026-03-08T09:09:09Z
0000000000000069,Глеб,Егоров,+79990000069,gleb.egorov@nomail.test,won,00000009,00000010,2026-01-10T19:38:37Z,2026-01-15T10:10:10Z
0000000000000070,Кирилл,Павлов,+79990000070,kirill.pavlov@nomail.test,lost,00000010,00000011,2026-01-15T18:37:36Z,2026-01-17T08:08:08Z
0000000000000071,Фёдор,Козлов,+79990000071,fedor.kozlov@nomail.test,new,00000011,00000012,2026-01-20T17:36:35Z,2026-01-20T17:36:40Z
0000000000000072,Ефим,Степанов,+79990000072,efim.stepanov@nomail.test,qualified,00000012,00000013,2026-01-25T16:35:34Z,2026-01-25T20:00:00Z
0000000000000073,Святослав,Николаев,+79990000073,svyatoslav.nikolaev@nomail.test,proposal,00000013,00000014,2026-02-01T15:34:33Z,2026-02-04T10:10:10Z
0000000000000074,Лев,Орлов,+79990000074,lev.orlov@nomail.test,won,00000014,00000015,2026-02-05T14:33:32Z,2026-02-12T09:09:09Z
0000000000000075,Артемий,Антонов,+79990000075,artemiy.antonov@nomail.test,lost,00000015,00000016,2026-02-10T13:32:31Z,2026-02-12T12:00:00Z
0000000000000076,Назар,Тихонов,+79990000076,nazar.tikhonov@nomail.test,new,00000016,00000017,2026-02-15T12:31:30Z,2026-02-15T12:31:35Z
0000000000000077,Данила,Беляев,+79990000077,danila.belyaev@nomail.test,qualified,00000017,00000018,2026-02-20T11:30:29Z,2026-02-20T15:45:00Z
0000000000000078,Тарас,Зайцев,+79990000078,taras.zaicev@nomail.test,proposal,00000018,00000019,2026-02-25T10:29:28Z,2026-02-28T09:09:09Z
0000000000000079,Ярослав,Киселёв,+79990000079,yaroslav.kiselev@nomail.test,won,00000019,00000020,2026-03-01T09:28:27Z,2026-03-06T08:08:08Z
0000000000000080,Платон,Григорьев,+79990000080,platon.grigorev@nomail.test,lost,00000020,00000001,2026-03-03T08:27:26Z,2026-03-05T11:11:11Z
0000000000000081,Мирон,Денисов,+79990000081,miron.denisov@nomail.test,new,00000001,00000002,2026-03-05T07:26:25Z,2026-03-05T07:26:30Z
0000000000000082,Валерий,Мартынов,+79990000082,valeriy.martynov@nomail.test,qualified,00000002,00000003,2026-01-10T06:25:24Z,2026-01-10T10:25:24Z
0000000000000083,Геннадий,Ершов,+79990000083,gennadiy.ershov@nomail.test,proposal,00000003,00000004,2026-01-15T05:24:23Z,2026-01-18T09:00:00Z
0000000000000084,Алина,Крылов,+79990000084,alina.krylov@nomail.test,won,00000004,00000005,2026-01-20T04:23:22Z,2026-01-25T08:08:08Z
0000000000000085,Валерия,Воробьёв,+79990000085,valeriya.vorobev@nomail.test,lost,00000005,00000006,2026-01-25T03:22:21Z,2026-01-27T09:09:09Z
0000000000000086,Эмма,Котов,+79990000086,emma.kotov@nomail.test,new,00000006,00000007,2026-02-01T02:21:20Z,2026-02-01T02:21:25Z
0000000000000087,Ангелина,Беляков,+79990000087,angelina.belyakov@nomail.test,qualified,00000007,00000008,2026-02-05T01:20:19Z,2026-02-05T05:00:00Z
0000000000000088,Вера,Савельев,+79990000088,vera.saveliev@nomail.test,proposal,00000008,00000009,2026-02-10T00:19:18Z,2026-02-13T09:09:09Z
0000000000000089,Надежда,Макаров,+79990000089,nadezhda.makarov@nomail.test,won,00000009,00000010,2026-02-15T23:18:17Z,2026-02-20T08:08:08Z
0000000000000090,Лилия,Овчинников,+79990000090,liliya.ovchinnikov@nomail.test,lost,00000010,00000011,2026-02-20T22:17:16Z,2026-02-22T13:13:13Z
0000000000000091,Сергей,Романов,+79990000091,sergey.romanov@nomail.test,new,00000011,00000012,2026-02-25T21:16:15Z,2026-02-25T21:16:20Z
0000000000000092,Дмитрий,Борисов,+79990000092,dmitriy.borisov@nomail.test,qualified,00000012,00000013,2026-03-01T20:15:14Z,2026-03-01T23:50:00Z
0000000000000093,Александр,Медведев,+79990000093,alexander.medvedev@nomail.test,proposal,00000013,00000014,2026-03-03T19:14:13Z,2026-03-06T09:09:09Z
0000000000000094,Игорь,Захаров,+79990000094,igor.zaharov@nomail.test,won,00000014,00000015,2026-03-05T18:13:12Z,2026-03-10T10:10:10Z
0000000000000095,Роман,Тарасов,+79990000095,roman.tarasov@nomail.test,lost,00000015,00000016,2026-01-10T17:12:11Z,2026-01-12T14:14:14Z
0000000000000096,Олег,Комаров,+79990000096,oleg.komarov@nomail.test,new,00000016,00000017,2026-01-15T16:11:10Z,2026-01-15T16:11:15Z
0000000000000097,Марк,Голубев,+79990000097,mark.golubev@nomail.test,qualified,00000017,00000018,2026-01-20T15:10:09Z,2026-01-20T19:00:00Z
0000000000000098,Ренат,Курков,+79990000098,renat.kurkov@nomail.test,proposal,00000018,00000019,2026-01-25T14:09:08Z,2026-01-28T09:09:09Z
0000000000000099,Артем,Матвеев,+79990000099,artem.matveev2@nomail.test,won,00000019,00000020,2026-02-01T13:08:07Z,2026-02-06T08:08:08Z
0000000000000100,Илья,Демидов,+79990000100,ilya.demidov@nomail.test,lost,00000020,00000001,2026-02-05T12:07:06Z,2026-02-07T09:09:09Z
